"no","title","oecd","score","q","issn1","issn2"
240,"Вопросы инженерной сейсмологии","01.05.00","0,331","2","0132-2826","2311-9586"
241,"Вестник Казанского государственного аграрного университета","04.01.00","0,331","2","2073-0462",NA
242,"Психологическая наука и образование","05.01.00","0,331","2","1814-2052","2311-7273"
243,"Журнал общей биологии","01.06.00","0,330","2","0044-4596",NA
244,"Журнал физической химии","01.04.00","0,330","2","0044-4537",NA
245,"Политическая наука","05.06.00","0,329","2","1998-1775",NA
246,"Вестник Томского государственного университета. История","06.01.00","0,327","2","1998-8613","2311-2387"
247,"Известия Российской академии наук. Серия биологическая","01.06.00","0,326","2","1026-3470",NA
248,"Дальневосточный математический журнал","01.01.00","0,326","2","1608-845X",NA
249,"Вестник Пермского национального исследовательского политехнического университета. Механика","02.03.00","0,324","2","2224-9893","2226-1869"
250,"Journal of Institutional Studies","05.02.00","0,323","2","2076-6297","2412-6039"
251,"Журнал технической физики","01.03.00","0,323","2","0044-4642",NA
252,"Контуры глобальных трансформаций: политика, экономика, право","05.06.00","0,322","2","2542-0240","2587-9324"
253,"Вестник Института социологии","05.04.00","0,321","2",NA,"2221-1616"
254,"Молочная промышленность","04.02.00","0,321","2","1019-8946",NA
255,"Доклады Российской академии наук. Математика, информатика, процессы управления","01.01.00","0,321","2","2686-9543",NA
256,"Известия Российской академии наук. Механика жидкости и газа","01.03.00","0,321","2","1024-7084",NA
257,"Полития: Анализ. Хроника. Прогноз (Журнал политической философии и социологии политики)","05.06.00","0,320","2","2078-5089","2587-5914"
258,"Металловедение и термическая обработка металлов","02.03.00","0,319","2","0026-0819",NA
259,"Известия высших учебных заведений. Авиационная техника","02.03.00","0,318","2","0579-2975",NA
260,"Культурно-историческая психология","05.01.00","0,318","2","1816-5435","2224-8935"
261,"Деформация и разрушение материалов","02.05.00","0,317","2","1814-4632",NA
262,"Биология моря","01.06.00","0,317","2","0134-3475",NA
263,"Геоморфология","01.05.00","0,317","2","0435-4281","2658-4530"
264,"Инженерно-физический журнал","01.03.00","0,316","2","0021-0285",NA
265,"Биофизика","01.06.00","0,315","2","0006-3029",NA
266,"Кормопроизводство","04.01.00","0,314","2","1562-0417",NA
